Data Source;World Development Indicators;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;_16;_17;_18;_19;_20;_21;_22;_23;_24;_25;_26;_27;_28;_29;_30;_31;_32;_33;_34;_35;_36;_37;_38;_39;_40;_41;_42;_43;_44;_45;_46;_47;_48;_49;_50;_51;_52;_53;_54;_55;_56;_57;_58;_59;_60;_61;_62;_63;_64;_65;_66;_67;_68
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;08/04/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bolivia;BOL;GDP (current US$);NY.GDP.MKTP.CD;3,77E+14;4,10E+13;4,48E+14;4,83E+14;5,44E+14;6,04E+14;6,69E+14;7,56E+14;8,58E+14;9,30E+13;1,02E+14;1,10E+13;1,26E+14;1,26E+14;2,10E+14;2,40E+14;2,73E+12;3,23E+14;3,76E+14;4,42E+14;4,54E+14;5,89E+13;5,59E+14;5,42E+14;6,17E+14;5,38E+14;3,96E+14;4,35E+14;4,60E+13;4,72E+14;4,87E+14;5,34E+14;5,64E+14;5,73E+14;5,98E+14;6,72E+14;7,40E+14;7,93E+14;8,50E+14;8,29E+14;8,40E+14;8,14E+14;7,91E+14;8,08E+14;8,77E+13;9,55E+14;1,15E+14;1,31E+14;1,67E+14;1,73E+14;1,96E+14;2,40E+13;2,71E+14;3,07E+14;3,30E+14;3,30E+14;3,39E+14;4,59E+14;4,84E+14;4,91E+14;4,23E+13;4,79E+14;5,10E+14;5,23E+14;5,49E+14;;
Brazil;BRA;GDP (current US$);NY.GDP.MKTP.CD;1,70E+14;1,73E+14;1,92E+14;2,33E+14;2,10E+14;2,25E+14;2,83E+14;3,11E+13;3,39E+14;3,72E+14;4,23E+14;4,89E+14;5,84E+14;8,36E+14;1,10E+14;1,29E+14;1,53E+14;1,76E+14;2,00E+14;2,21E+14;2,37E+14;2,58E+14;2,71E+14;1,90E+14;1,88E+13;2,11E+14;2,56E+14;2,83E+14;3,08E+14;4,13E+13;3,91E+14;3,43E+14;3,28E+14;3,68E+13;5,25E+14;7,69E+14;8,50E+14;8,83E+14;8,64E+14;6,00E+14;6,55E+14;5,60E+13;5,10E+13;5,58E+14;6,69E+14;8,92E+14;1,11E+14;1,40E+14;1,70E+14;1,67E+14;2,21E+14;2,62E+14;2,47E+14;2,47E+14;2,46E+14;1,80E+14;1,80E+14;2,06E+14;1,92E+14;1,87E+14;1,48E+14;1,67E+14;1,95E+14;2,19E+14;2,19E+14;;
Barbados;BRB;GDP (current US$);NY.GDP.MKTP.CD;8,00E+14;8,54E+14;8,88E+13;9,99E+14;9,93E+14;1,05E+14;1,13E+14;1,26E+14;1257336685;141393142;166210203;1,87E+14;2,14E+14;2,61E+14;3,12E+14;4,02E+14;4,36E+13;4,95E+14;5,53E+14;6,70E+14;1,01E+14;1,11E+14;1,16E+14;1,24E+14;1,35E+14;1,41E+14;1,55E+14;1,70E+14;1,81E+14;2,01E+14;2,01E+14;2,02E+14;1957000000;2,06E+14;2,15E+14;2,22E+14;2,36E+14;2,50E+14;2,82E+14;2,95E+14;3059500000;3054500000;3106500000;3209500000;3444500000;3819500000;4217323400;4675767950;4790410400;4466809600;5672900000;5663100000;5761450000;5667200000;5620600000;5698150000;5674600000;5683150000;6001950000;6161850000;5407050000;5947550000;6884900000;7223250000;7498050000;;
Brunei Darussalam;BRN;GDP (current US$);NY.GDP.MKTP.CD;;;;;;1,14E+14;1,33E+14;1,39E+14;1,61E+14;1,61E+13;1,79E+14;1,98E+14;2,71E+14;4,33E+14;2,32E+14;2,50E+14;3,05E+14;3,68E+14;4,10E+14;6,04E+14;1,08E+14;9,37E+14;8,93E+14;7,93E+14;7,63E+13;6,97E+14;4,19E+14;4,92E+14;4,54E+14;4,98E+14;6,04E+14;6,28E+14;6,33E+14;6,20E+14;6,47E+14;7,70E+13;7,66E+14;7,79E+14;5,55E+14;6,31E+13;6,57E+14;6,10E+14;6,33E+14;7,17E+14;8,62E+14;1,05E+14;1,26E+13;1,34E+14;1,59E+14;1,19E+14;1,37E+14;1,85E+13;1,90E+14;1,81E+14;1,71E+14;1,29E+14;1,14E+14;1,21E+14;1,36E+14;1,35E+14;1,20E+14;1,40E+14;1,67E+14;1,51E+14;1,53E+12;;
Bhutan;BTN;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;6,18E+14;6,63E+14;7,01E+14;7,89E+14;9,29E+14;8,68E+14;8,85E+14;9,79E+14;9,41E+14;1,05E+14;1,29E+14;1,39E+14;1,41E+14;1,57E+14;1,60E+14;1,63E+14;1,91E+14;2,43E+14;2,72E+14;2,65E+14;2,88E+14;2,40E+14;2,40E+14;2,26E+12;2,59E+14;2,90E+14;3,03E+14;3,52E+14;3,63E+14;3,99E+13;4,61E+14;4,96E+14;5,59E+14;6,52E+14;7,35E+14;8,60E+14;9,43E+14;1,26E+14;1,32E+14;1,33E+14;1,71E+14;1,98E+14;1,97E+14;1,94E+14;2,09E+14;2,19E+14;2,36E+14;2,59E+14;2,58E+14;2,74E+14;2,46E+14;2,77E+14;2,90E+14;3,01E+14;;;
Botswana;BWA;GDP (current US$);NY.GDP.MKTP.CD;3,04E+14;3,29E+14;3,56E+14;3,81E+14;4,16E+14;4,58E+14;5,15E+14;5,86E+13;6,62E+14;7,74E+14;9,62E+14;1,27E+14;1,64E+14;2,44E+14;3,06E+14;3,55E+14;3,72E+14;4,52E+14;5,90E+14;8,20E+14;1,06E+14;1,07E+14;1,01E+14;1,17E+14;1,24E+14;1,11E+14;1,39E+14;1,97E+14;2,64E+14;3,08E+14;3,79E+14;3,94E+14;4,15E+14;4,16E+14;4,26E+14;4,73E+14;4,85E+14;5,02E+14;4,79E+14;5,48E+14;5,79E+14;5,49E+14;5,44E+14;7,51E+14;8,96E+13;9,92E+14;9,92E+14;1,06E+14;1,07E+14;1,01E+14;1,26E+14;1,51E+14;1,39E+14;1,43E+14;1,55E+14;1,35E+13;1,51E+14;1,61E+14;1,70E+14;1,67E+14;1,50E+14;1,88E+14;2,03E+14;1,94E+14;1,94E+14;;
Central African Republic;CAF;GDP (current US$);NY.GDP.MKTP.CD;1,12E+14;1,23E+14;1,24E+13;1,29E+13;1,42E+14;1,51E+14;1,58E+14;1,64E+14;1,92E+14;1,88E+14;1,89E+14;2,01E+13;2,30E+13;2,71E+14;2,81E+14;3,79E+14;4,51E+13;5,07E+14;6,11E+14;7,01E+14;7,97E+14;6,95E+14;7,48E+14;6,59E+14;6,38E+14;8,65E+14;1,12E+14;1,20E+14;1,26E+14;1,23E+14;1,44E+14;1,38E+14;1,41E+14;1,28E+14;8,51E+14;1,12E+14;1,01E+14;9,38E+14;9,67E+14;9,99E+14;9,17E+14;9,33E+14;9,96E+14;1,14E+14;1,27E+14;1,34E+14;1,46E+14;1,70E+14;1,99E+14;2,07E+14;2,14E+14;2,44E+14;2,51E+14;1,69E+14;1,89E+14;1,70E+14;1,83E+14;2,07E+13;2,22E+14;2,22E+14;2,33E+14;2,52E+14;2,38E+14;2,56E+14;2,75E+14;;
Canada;CAN;GDP (current US$);NY.GDP.MKTP.CD;4,06E+14;4,10E+14;4,23E+14;4,51E+14;4,95E+14;5,46E+14;6,13E+13;6,59E+14;7,20E+14;7,94E+14;8,82E+14;9,96E+14;1,13E+14;1,32E+14;1,61E+14;1,74E+14;2,07E+14;2,12E+14;2,19E+14;2,44E+14;2,75E+14;3,07E+14;3,15E+14;3,42E+14;3,57E+14;3,66E+14;3,79E+14;4,33E+14;5,09E+14;5,67E+14;5,96E+14;6,13E+14;5,94E+14;5,79E+12;5,80E+14;6,06E+14;6,31E+14;6,55E+14;6,34E+11;6,78E+14;7,45E+14;7,39E+14;7,61E+14;8,96E+14;1,03E+14;1,17E+14;1,32E+14;1,47E+14;1,55E+14;1,37E+14;1,62E+14;1,79E+14;1,83E+13;1,85E+14;1,81E+14;1,56E+14;1,53E+14;1,65E+14;1,73E+14;1,74E+14;1,66E+14;2,02E+14;2,19E+14;2,17E+14;2,24E+14;;
Central Europe and the Baltics;CEB;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,72E+14;2,47E+14;2,55E+14;2,70E+14;3,09E+14;3,95E+14;4,18E+14;4,11E+14;4,50E+14;4,36E+14;4,29E+14;4,70E+13;5,29E+14;6,34E+14;7,63E+14;8,86E+14;1,00E+14;1,26E+14;1,53E+14;1,29E+14;1,32E+14;1,46E+13;1,36E+13;1,42E+14;1,47E+14;1,30E+14;1,32E+14;1,47E+14;1,66E+14;1,68E+14;1,68E+13;1,93E+12;1,95E+14;2,27E+13;2,46E+14;;
Switzerland;CHE;GDP (current US$);NY.GDP.MKTP.CD;1,04E+14;1,17E+14;1,30E+14;1,43E+14;1,58E+14;1,68E+13;1,80E+14;1,94E+14;2,07E+14;2,24E+13;2,50E+14;3,00E+14;3,68E+14;4,96E+14;5,71E+14;6,55E+14;6,85E+13;7,31E+13;1,02E+14;1,15E+14;1,23E+14;1,12E+14;1,15E+14;1,15E+13;1,09E+14;1,11E+14;1,59E+14;1,99E+14;2,16E+14;2,08E+14;2,66E+14;2,69E+14;2,80E+14;2,72E+14;3,01E+14;3,53E+14;3,40E+14;2,95E+14;3,03E+14;2,98E+14;2,79E+14;2,87E+14;3,09E+14;3,62E+13;4,04E+14;4,18E+14;4,42E+14;4,91E+14;5,67E+14;5,54E+14;5,99E+13;7,16E+14;6,86E+13;7,06E+14;7,27E+11;6,94E+14;6,88E+14;6,95E+14;7,26E+14;7,21E+14;7,42E+14;8,15E+14;8,29E+14;8,94E+14;9,37E+14;;
Channel Islands;CHI;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,95E+14;6,26E+14;6,44E+14;6,23E+13;6,66E+13;7,33E+14;8,55E+14;8,83E+14;9,68E+14;1,15E+14;;9,10E+14;8,90E+14;9,65E+13;9,45E+14;9,59E+14;1,05E+14;1,01E+13;9,17E+14;9,17E+14;1,00E+14;1,00E+14;9,44E+14;1,12E+14;1,13E+13;1,25E+14;;;
