Data Source;World Development Indicators;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;_16;_17;_18;_19;_20;_21;_22;_23;_24;_25;_26;_27;_28;_29;_30;_31;_32;_33;_34;_35;_36;_37;_38;_39;_40;_41;_42;_43;_44;_45;_46;_47;_48;_49;_50;_51;_52;_53;_54;_55;_56;_57;_58;_59;_60;_61;_62;_63;_64;_65;_66;_67;_68
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;08/04/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Benin;BEN;GDP (current US$);NY.GDP.MKTP.CD;2,26E+14;2,36E+14;2,36E+14;2,54E+13;2,70E+13;2,90E+14;3,03E+14;3,06E+14;3,26E+13;3,31E+14;3,34E+14;3,35E+13;4,10E+14;5,04E+14;5,55E+14;6,77E+14;6,98E+14;7,50E+13;9,29E+14;1,19E+14;1,41E+14;1,29E+14;1,27E+14;1,10E+14;1,05E+14;1,05E+14;1,34E+14;1,56E+14;1,62E+14;1,50E+14;1,96E+14;1,99E+14;1,70E+14;2,27E+14;1,60E+14;2,17E+13;2,36E+14;2,27E+14;2,46E+14;3,68E+14;3,52E+14;3,67E+14;4,19E+13;5,35E+14;6,19E+14;6,57E+14;7,03E+14;8,17E+14;9,79E+14;9,74E+14;9,54E+14;1,07E+14;1,11E+14;1,25E+14;1,33E+14;1,14E+14;1,18E+14;1,27E+14;1,43E+14;1,44E+14;1,57E+13;1,77E+14;1,74E+13;1,97E+14;2,15E+14;;
Burkina Faso;BFA;GDP (current US$);NY.GDP.MKTP.CD;3,30E+14;3,50E+14;3,80E+14;3,94E+14;4,10E+14;4,23E+12;4,34E+14;4,51E+14;4,60E+14;4,78E+13;4,58E+14;4,82E+14;5,79E+14;6,75E+14;7,51E+14;9,40E+14;9,77E+14;1,13E+14;1,48E+14;1,75E+14;1,93E+14;1,78E+14;1,75E+14;1,60E+14;1,46E+14;1,55E+14;2,04E+14;2,37E+14;2,62E+14;2,62E+14;3,10E+14;3,14E+14;3,36E+14;3,20E+14;1,90E+14;2,38E+14;2,59E+14;2,45E+14;2,80E+14;3,39E+14;2,97E+14;3,19E+14;3,62E+14;4,74E+14;5,45E+14;6,15E+14;6,55E+14;7,63E+14;9,45E+14;9,45E+14;1,01E+14;1,21E+14;1,26E+14;1,34E+14;1,39E+14;1,18E+14;1,28E+14;1,41E+14;1,59E+14;1,60E+14;1,77E+14;1,97E+14;1,86E+14;2,01E+14;2,31E+14;;
Bangladesh;BGD;GDP (current US$);NY.GDP.MKTP.CD;4,27E+14;4817580375;5,08E+14;53194585625;5,39E+14;5,91E+14;6,44E+14;72535756875;7,48E+14;84710064375;8,99E+14;87518431875;6,29E+14;8,09E+13;1,25E+14;1,94E+14;1,01E+14;9,65E+13;1,33E+14;1,56E+14;1,81E+14;2,02E+13;1,85E+14;1,76E+14;18920840000;2,23E+14;2,18E+14;2,43E+14;2,66E+14;2,88E+14;3,16E+14;3,10E+14;3,17E+14;3,32E+14;3,38E+13;3,79E+14;4,64E+14;4,82E+14;5,00E+14;5,13E+14;5,34E+14;5,40E+14;5,47E+14;6,02E+14;6,51E+14;6,95E+13;7,18E+14;7,96E+14;9,16E+14;1,02E+14;1,15E+14;1,29E+14;1,33E+14;1,50E+14;1,73E+14;1,95E+14;2,65E+14;2,94E+14;3,21E+13;3,51E+14;3,74E+14;4,16E+14;4,60E+14;4,37E+14;4,50E+14;;
Bulgaria;BGR;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;1,98E+14;19870000000;19342000000;1,66E+14;1,76E+14;1,72E+14;2,02E+14;28101000000;2,26E+14;2,20E+14;2,06E+14;7,63E+14;8,60E+14;1,08E+13;9,71E+14;1,90E+12;1,23E+14;1,13E+14;1,50E+14;1,36E+13;1,32E+14;1,42E+14;1,64E+14;2,11E+14;2,62E+14;2,99E+14;3,44E+14;4,44E+14;5,45E+14;5,20E+12;5,07E+14;5,77E+14;5,43E+14;5,58E+14;5,71E+14;5,08E+14;5,39E+14;5,92E+13;6,61E+14;6,85E+14;7,05E+14;8,44E+12;9,05E+14;1,02E+14;1,13E+14;;
Bahrain;BHR;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;3,92E+14;4,22E+14;5,34E+14;7,61E+14;1,04E+14;1,10E+14;1,58E+14;1,99E+14;2,27E+14;2,71E+14;3,49E+14;3,94E+14;4,15E+14;4,25E+14;4,44E+14;4,15E+14;3,47E+14;3,86E+14;4,21E+14;4,39E+14;4,81E+14;5,25E+14;5,40E+14;5,91E+14;6,33E+14;6,65E+14;6,94E+14;7,22E+14;7,03E+14;7,53E+14;9,06E+14;8,98E+14;9,59E+14;1,11E+14;1,32E+14;1,60E+14;1,85E+14;21730000000;2,57E+14;2,29E+14;2,68E+14;2,99E+14;3,20E+14;3,38E+14;3,48E+14;3,25E+14;3,39E+14;3,72E+14;3,96E+14;4,04E+14;3,58E+14;4,08E+14;4,65E+14;4,62E+14;4,71E+14;;
Bahamas, The;BHS;GDP (current US$);NY.GDP.MKTP.CD;1,70E+14;1,90E+14;2,12E+14;2,38E+14;2,67E+14;3,00E+14;346800000;398000000;453800000;538700000;539500000;573400000;590900000;670900000;632400000;596200000;642100000;713000000;832400000;1139800100;1335300000;1426500000;1578300000;1732800000;2041100000;2320699900;2472500000;2713999900;2817900000;3062000000;3166000000;3111160000;3109000000;3092000000;3259000000;3429000000;3609000000;6332360000;6833220000;7683870000;8076470000;8317830000;8881160000;8870090000;9055290000;9836200000;10167250000;10618340000;10526000000;9981960000;10095760000;10070450000;10720400000;10475300000;11139100000;11837600000;11880900000;12446900000;12819200000;13277000000;10363200000;12037000000;13896800000;15271300000;15832800000;;
Bosnia and Herzegovina;BIH;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,75E+14;6,12E+14;4,74E+14;3,63E+14;1,26E+13;1,87E+14;2,79E+14;3,67E+14;4,12E+14;4,69E+14;5,57E+14;5,80E+14;6,73E+14;8,50E+14;1,02E+14;1,12E+14;1,29E+14;1,58E+14;1,91E+14;1,76E+14;1,72E+14;1,86E+14;1,72E+14;1,82E+14;1,86E+14;1,64E+14;1,71E+14;1,83E+14;2,05E+14;2,05E+14;2,02E+14;2,37E+14;2,45E+14;2,76E+14;2,96E+14;;
Belarus;BLR;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,74E+14;1,84E+14;1,69E+14;1,63E+14;1,49E+13;1,40E+14;1,45E+14;1,41E+14;1,52E+14;1,21E+14;1,27E+14;1,24E+14;1,46E+14;1,78E+14;2,31E+14;3,02E+14;3,70E+14;4,53E+13;6,08E+13;5,09E+14;5,72E+14;6,18E+14;6,57E+14;7,55E+14;7,88E+14;5,65E+14;4,77E+13;5,47E+14;6,00E+12;6,44E+14;6,14E+14;6,97E+12;7,38E+13;7,25E+14;7,60E+14;;
Belize;BLZ;GDP (current US$);NY.GDP.MKTP.CD;2,81E+14;29964999965;3,19E+14;3,38E+14;3,62E+14;4,01E+14;4,45E+14;4,74E+13;4,50E+12;4,74E+14;5,33E+14;5,91E+14;6,60E+14;7,82E+14;1,03E+14;1,18E+14;9,71E+14;117650000;136300000;151800000;257400000;260750000;248550000;262150000;290350000;287300000;311500000;371100000;421450000;491100000;5,47E+13;596682100;695741150;752255150;771838000;818590250;850339100;872916050;929047000;999713050;1138138100;1172045150;1243912050;1308280250;1400202000;1474298400;1590463100;1706190450;1738453600;1688012750;1748988400;1831576700;1917083500;2035191450;2138242200;2193095150;2239604950;2266028250;2285915050;2381187850;2047284600;2428606250;2846604350;3052362650;3203631800;;
Bermuda;BMU;GDP (current US$);NY.GDP.MKTP.CD;72400000;76500000;80700000;82600000;92200000;98000000;115000000;134800000;150000000;164900000;186300000;211100000;235400000;269500000;312600000;345000000;386300000;447000000;475800000;517200000;613299968;739100032;785500032;889400000;985699968;1039500032;1173500032;1296499968;1415100032;1501500032;1592400000;1634900000;1679900000;1820359900;1867160100;2030750000;2695390000;2932827000;3130748000;3324433000;3480219000;3680483000;3937228000;4186525000;4484703000;4868136000;6144000000;6767000000;6980000000;6656000000;6634526000;6312691000;6378188000;6465756000;6413988000;6654541000;6899911000;7142316000;7225977000;7423465000;6887364000;7290037000;7874381000;8579242000;9233600000;;
