Code,Name,Year,GDP,GCF,POP,LIFE_EXP,GOV_EXP,TRADE,cdd,hd30,r20mm
EGY,"Egypt, Arab Rep.",2018,377141312302.669,57885729348.4255,1.89713831833082,70.974,7.94222279370794,45.9110196733959,345.82,203.26,0.02
EGY,"Egypt, Arab Rep.",2019,398080548973.052,64794918269.6254,1.75497438173801,71.213,7.2855611150822,41.1240171551108,343.75,187.16,0.03
EGY,"Egypt, Arab Rep.",2020,412213064649.087,52627257977.3645,1.62495386951696,69.79,7.5399018301206,32.1262555667523,342.61,183,0.29000000000000004
EGY,"Egypt, Arab Rep.",2021,425777537421.996,51614704428.5681,1.4908053906311,68.976,7.55804355330102,29.8569734808122,352.88,192.93,0
EGY,"Egypt, Arab Rep.",2022,453827104224.605,59859783325.9112,1.48609697540294,71.01,7.26809053235575,36.9831048772713,349.53,179.57999999999998,0
EGY,"Egypt, Arab Rep.",2023,470892276431.916,49696074931.7608,1.68834126904494,71.633,6.78850660732221,40.4504007720031,348.64,190.34,0
EGY,"Egypt, Arab Rep.",2024,482189779212.632,46643502754.8339,1.73324205302065,71.806,6.27031988169153,39.6007520873733,353.34,186.18,0
ESP,Spain,1960,191405167019.617,71340506360.17807,1.2535504619630293,69.1092682926829,12.305789310361323,33.603628176230345,132.07999999999998,23.75,7.11
ESP,Spain,1961,214065001135.145,85100933550.67372,0.92901553460921,69.4804878048781,12.525439098258955,32.91920582587792,165.62,28.17,5.07
ESP,Spain,1962,235371828523.358,84103191572.84105,0.920032286529714,69.5190243902439,12.634029156523512,33.049146095378724,157.19,37.47,4.81
ESP,Spain,1963,257959283397.781,95957947372.71431,0.877043251659206,69.6812195121951,12.385193320890398,32.701527103342436,150.93,21.83,6.25
ESP,Spain,1964,271653078386.353,86926635097.86723,0.993696426233108,70.399756097561,13.081570822793237,33.6202572042029,163.12,36.32,3.67
ESP,Spain,1965,288639911835.098,91919161140.69354,1.08584474209375,70.8092682926829,11.05347640627841,30.754001656966032,156.39,29.14,5.3
ESP,Spain,1966,309554933923.978,93780631070.6099,1.02402785233795,71.0551219512195,11.614605869132836,31.69706832787604,157.18,28.08,6.67
ESP,Spain,1967,322990665643.033,88854477544.99129,1.23066581815604,71.2529268292683,10.69296531507441,29.41042903704793,144.57,31.53,4.62
ESP,Spain,1968,344298424898.018,89067992363.65715,1.30765578581186,71.5378048780488,10.631719329376965,29.606518458749182,150.96,30.43,4.35
ESP,Spain,1969,374965139160.237,107294276999.11192,0.985430559578259,71.0575609756098,11.90860498169616,31.420268108436915,131.55,26.73,6.55
