Code,Name,Year,GDP,emp,cn,USDfx,hd30,cdd,r20mm,media_hd30,classe_clima
ESP,Spain,1966,491903.5625,12.984715461731,933628.3125,0.360135,-0.7547058823529333,2.7300000000000466,1.9923529411764704,37.2664,Mite
ESP,Spain,1967,511838.75,13.0715503692627,1004190.75,0.366462,2.5455555555555627,-9.331111111111085,-0.05444444444444407,37.2664,Mite
ESP,Spain,1968,543811.8125,13.1647262573242,1082655.75,0.418772,1.3694736842105328,-2.7863157894736332,-0.3073684210526313,37.2664,Mite
ESP,Spain,1969,595383.25,13.2878074645996,1176693.875,0.419773,-2.213999999999995,-21.086499999999972,1.798,37.2664,Mite
ESP,Spain,1970,618568.875,13.4227409362793,1260217.875,0.418664,5.6057142857142885,6.031904761904798,-0.05904761904761901,37.2664,Mite
ESP,Spain,1971,647329.0625,13.5325794219971,1341134.625,0.415522,-7.697727272727267,-35.50727272727269,0.4018181818181823,37.2664,Mite
ESP,Spain,1972,700084.75,13.7021141052246,1435910.5,0.386111,-12.097826086956516,-43.34695652173909,2.259130434782609,37.2664,Mite
ESP,Spain,1973,754610.625,14.0634202957153,1557782,0.350288,2.2062500000000007,-1.0608333333333348,-0.4991666666666657,37.2664,Mite
ESP,Spain,1974,797010.5625,14.1709413528442,1676560.25,0.346739,0.08280000000000243,1.0456000000000074,-0.32559999999999967,37.2664,Mite
ESP,Spain,1975,801332,13.941164970398,1796195.625,0.345002,-1.4011538461538429,-9.475384615384598,-0.418846153846153,37.2664,Mite
ESP,Spain,1976,827806.25,13.7717628479004,1942484.125,0.401987,-4.700370370370372,-9.634814814814774,-0.7596296296296288,37.2664,Mite
ESP,Spain,1977,851304.1875,13.6348495483398,2161350.5,0.456683,-12.401071428571424,-25.44249999999998,0.13535714285714295,37.2664,Mite
ESP,Spain,1978,863758.8125,13.2448387145996,2436993.25,0.460451,3.1465517241379324,19.35620689655173,-1.0086206896551726,37.2664,Mite
ESP,Spain,1979,864117.625,12.955885887146,2728060.25,0.403474,-0.39000000000000057,-10.781999999999982,1.4416666666666664,37.2664,Mite
ESP,Spain,1980,883203.625,12.6695184707642,2904427.25,0.430916,7.799999999999997,-8.789032258064509,-0.8112903225806449,37.2664,Mite
