Code,Name,Year,GDP,GCF,POP,TRADE,GOV_EXP,LIFE_EXP
IDN,Indonesia,1982,90158449294.9921,22.5834526752146,2.312379898873,48.6762274326459,11.4563175175994,59.7
IDN,Indonesia,1983,81052283383.7155,29.4017715637958,2.2802310222151,56.5592366644233,10.9600584008163,60.343
IDN,Indonesia,1984,84853700027.651,24.8846749403824,2.229708398269,50.1106199773017,10.4777680265764,60.891
IDN,Indonesia,1985,85289488375.4435,25.3469459717401,2.13630506735178,44.7183723110447,12.03547689631,61.387
IDN,Indonesia,1986,79954072544.5279,27.6465173156606,2.01749973418514,41.0095381677863,11.2424777587402,61.736
IDN,Indonesia,1987,75929617557.7521,27.2467189939824,1.94141842112657,46.9742478782921,9.42460516164077,62.087
IDN,Indonesia,1988,84300174485.7973,29.0980220231829,1.90886698268871,47.2545614222743,8.97633295990002,62.386
IDN,Indonesia,1989,94451427876.6628,30.6830325980787,1.87458353064795,49.0818836891175,9.38937594169801,62.883
IDN,Indonesia,1990,106140727333.636,32.7076900896332,1.81442604896274,52.8918614376893,9.53444118831967,63.249
IDN,Indonesia,1991,116621996217.133,31.8694254830288,1.77013689509296,54.8395648805761,9.13808824964761,63.703
IDN,Indonesia,1992,128026966579.964,30.1758273386831,1.7332257161332,57.4274341101528,9.51626587965038,64.182
IDN,Indonesia,1993,158006700301.533,28.2806731118536,1.70158442607601,50.5233858882307,9.02331220180498,64.851
IDN,Indonesia,1994,176892143931.505,29.5706877484337,1.6859518715422,51.877101049475,8.11418145113923,65.041
IDN,Indonesia,1995,202132028723.115,30.4298110883689,1.66278546327292,53.9585900635426,7.82906404883809,65.263
IDN,Indonesia,1996,227369679374.973,31.6023606375148,1.64546182640737,52.264743657148,7.56695858557029,65.465
IDN,Indonesia,1997,215748998609.635,30.3076757881764,1.62630782020292,55.9938588086777,6.84280506576593,65.774
IDN,Indonesia,1998,95445547872.715,27.4295066667294,1.58071800042293,96.1861923602686,5.69350779254274,65.942
IDN,Indonesia,1999,140001351215.462,22.1387593118175,1.50317096427875,62.9439128601924,6.60445694203931,66.001
IDN,Indonesia,2000,165021012077.81,22.2456969315568,1.43244007763682,71.4368759173731,6.53199497269296,66.292
IDN,Indonesia,2001,160446947784.909,22.539266316067,1.38801892806803,69.7932075256238,6.8890593699167,66.583
IDN,Indonesia,2002,195660611165.183,21.4040702075173,1.35572575488289,59.0794617663723,7.25745833839691,66.954
IDN,Indonesia,2003,234772463823.808,25.5984983869787,1.32378197652859,53.6164937473016,8.12948626357009,67.134
IDN,Indonesia,2004,256836875295.452,24.0563663747717,1.27101139474106,59.761294836691,8.32186800551366,65.521
