Code,Name,Year,hd30_ssp245,cdd_ssp245,r20mm_ssp245,hd30_ssp370,cdd_ssp370,r20mm_ssp370
IRN,Islamic Republic of Iran,2045,7.435161290322526,6.180000000000007,-0.1006451612903223,6.938709677419382,-4.904838709677421,-0.1212903225806452
ITA,Italy,2045,6.4890322580645154,1.6806451612903217,0.26677419354838605,7.248387096774202,1.9025806451612866,0.7877419354838713
JPN,Japan,2045,4.672903225806451,0.5774193548387068,1.2593548387096796,4.085161290322581,-0.24322580645161196,0.23516129032257993
KEN,Kenya,2045,11.94129032258067,-0.0909677419354935,-0.39580645161290384,13.67451612903227,1.7793548387096791,-0.20322580645161237
KOR,Republic of Korea,2045,5.256774193548388,-1.6600000000000001,1.6209677419354804,8.14064516129033,-0.24032258064515943,0.22387096774193438
MYS,Malaysia,2045,17.846774193548384,-0.3203225806451604,1.6729032258064542,31.071612903225713,-0.08193548387096694,2.1232258064516145
MEX,Mexico,2045,12.688064516129032,2.784838709677423,0.041935483870966905,13.76354838709679,-1.4993548387096922,0.050645161290321816
MAR,Morocco,2045,8.009354838709697,-0.6722580645161429,-0.20225806451612893,8.168387096774168,2.150967741935503,0.04645161290322575
NGA,Nigeria,2045,11.090967741935401,1.3358064516128962,0.19580645161290278,13.348709677419322,-1.4841935483870827,0.8738709677419356
PAK,Pakistan,2045,5.9474193548387575,3.245483870967732,-0.39129032258064544,4.489354838709744,-4.854193548387116,0.20709677419354922
PER,Peru,2045,15.089354838709667,-0.32709677419355643,-0.16161290322580513,18.407096774193533,1.0438709677419453,0.5112903225806438
PHL,Philippines,2045,22.85129032258061,-0.43258064516129124,2.089032258064517,29.70419354838708,1.1541935483870986,0.9012903225806426
RUS,Russian Federation,2045,1.4787096774193547,-0.6945161290322588,0.1041935483870966,1.4103225806451603,-0.6619354838709732,0.11645161290322603
SAU,Saudi Arabia,2045,7.517741935483883,-0.4748387096774138,0.032903225806451636,5.688064516129032,-0.1803225806451394,0.005161290322580642
SEN,Senegal,2045,4.593225806451642,8.836774193548422,-0.3967741935483877,5.35225806451615,-4.6693548387096655,-0.4261290322580642
ZAF,South Africa,2045,10.510645161290313,-1.000322580645161,-0.36032258064516043,7.975806451612911,2.3564516129032214,0.3235483870967748
ESP,Spain,2045,7.3809677419355,1.6480645161290255,-0.17903225806451672,8.114516129032268,3.8687096774193606,-0.06903225806451552
SWE,Sweden,2045,0.06290322580645161,1.0822580645161288,0.19774193548387098,0.1403225806451613,-0.11419354838709594,-0.09483870967741925
THA,Thailand,2045,10.006774193548438,-1.9716129032258252,1.677741935483871,14.460645161290358,-1.6822580645161267,1.379354838709677
TUR,Türkiye,2045,9.803548387096782,6.210967741935484,-0.4612903225806444,5.284838709677409,0.41387096774193566,0.06387096774193557
